year,mon,ext,cnt,size,lines
2024,10,.c,3,82488,2229
2024,10,.cpp,5,82957,2251
2024,10,.json,20,180835,
2024,10,.txt,15,47342,
2024,11,.c,29,797384,21547
2024,11,.cpp,59,814741,22147
2024,11,.json,203,2148192,
2024,11,.txt,145,458860,
2024,12,.c,18,494928,13374
2024,12,.cpp,36,497554,13511
2024,12,.json,126,1333584,
2024,12,.txt,91,285422,
2025,1,.c,1,27496,743
2025,1,.cpp,2,27123,733
2025,1,.json,7,74088,
2025,1,.txt,5,15850,
2025,2,.c,7,192472,5201
2025,2,.cpp,18,193800,5289
2025,2,.h,9,1749,96
2025,2,.json,49,239133,
2025,2,.txt,35,106614,
2025,3,.c,12,329952,8916
2025,3,.cpp,35,340337,9366
2025,3,.h,10,3631,179
2025,3,.json,84,570307,
2025,3,.txt,61,185517,
2025,4,.c,7,192472,5201
2025,4,.cpp,16,212062,5826
2025,4,.h,2,928,49
2025,4,.json,49,438758,
2025,4,.txt,38,109767,
2025,5,.c,62,1704752,46066
2025,5,.cpp,142,1945261,53546
2025,5,.h,17,72839,2068
2025,5,.hpp,6,34632,867
2025,5,.json,434,3753624,
2025,5,.txt,357,6296975,
2025,6,.c,7,192472,5201
2025,6,.cpp,13,202207,5542
2025,6,.json,49,518616,
2025,6,.txt,49,111039,
2025,9,.c,8,220092,5951
2025,9,.cpp,18,237765,6500
2025,9,.json,56,541996,
2025,9,.txt,54,5522378,
2025,10,.c,7,192472,5201
2025,10,.cpp,19,299588,7738
2025,10,.json,61,467239,
2025,10,.txt,53,310653,
2025,11,.c,22,552328,14922
2025,11,.cpp,41,599131,16399
2025,11,.h,3,10759,290
2025,11,.json,128,867701,
2025,11,.txt,97,307019,
2025,12,.c,1,27496,743
2025,12,.cpp,3,31012,832
2025,12,.json,7,57296,
2025,12,.txt,5,15677,
2026,2,.c,5,5867269,121736
2026,2,.cpp,7,67986,1564
2026,2,.h,11,34012,930
2026,2,.hpp,10,40514,914
2026,2,.html,2,25,
2026,2,.ipynb,1,249120,
2026,2,.json,12,238857,
2026,2,.py,3855,45733047,1109259
2026,2,.txt,96,277469,
2026,3,.c,5,5844100,121171
2026,3,.cpp,5,39994,807
2026,3,.h,15,77737,2031
2026,3,.hpp,10,40514,914
2026,3,.html,27,27834,
2026,3,.ipynb,1,122766,
2026,3,.js,769,57607718,670137
2026,3,.json,245,2496150,
2026,3,.py,4020,45068910,1087635
2026,3,.txt,172,217854,
